input	filtered	denoised	nonchim
SRR8247254	27158	24638	5798	5596
SRR8247256	39850	35623	9296	8861
SRR8247258	25980	23502	6156	5799
SRR8247260	21948	19815	3077	2917
SRR8247262	23112	20080	2413	2335
SRR8247264	30831	27254	4999	4643
SRR8247266	20921	17929	2461	2453
SRR8247268	26671	23712	3584	3505
SRR8247271	28765	24746	4503	4464
SRR8247272	26370	23029	4497	4331
SRR8247274	26739	24033	3841	3773
SRR8247276	28294	25083	4497	4442
SRR8247278	20318	17789	2762	2733
SRR8247280	24406	20918	3109	3071
SRR8247282	20508	18001	2771	2683
SRR8247284	24235	21410	2646	2641
SRR8247286	32041	27932	3626	3519
SRR8247288	37348	33218	5210	5137
SRR8247290	24300	20810	2421	2417
SRR8247292	27945	24868	4196	4112
SRR8247294	30568	27194	5580	5362
SRR8247296	20761	18647	956	929
SRR8247298	25656	22232	2880	2819
SRR8247299	34974	30589	6060	5903
