"","C","D","B","A"
"num.edges",24,11,48,18
"num.pos.edges",13,9,27,11
"num.neg.edges",11,2,21,7
"num.vertices",25,23,32,30
"connectance",0.08,0.0434782608695652,0.0967741935483871,0.0413793103448276
"average.degree",1.92,0.956521739130435,3,1.2
"average.path.length",1.61538461538462,1.95238095238095,2.81566820276498,1.1
"diameter",4,5,7,2
"edge.connectivity",0,0,0,0
"clustering.coefficient",0.738461538461539,0,0.491228070175439,0.833333333333333
"no.clusters",13,12,7,17
"centralization.degree",0.128333333333333,0.0474308300395257,0.161290322580645,0.0620689655172414
"centralization.betweenness",0.0350618961352657,0.0232192050373869,0.174732969654926,0.00237812128418549
"centralization.closeness",0.0186844126737828,0.0162252430186991,0.038932204041282,0.00444414025806712
