"","A","Means","SD"
"num.edges",947,18,0
"num.pos.edges",652,11,0
"num.neg.edges",295,7,0
"num.vertices",89,30,0
"connectance",0.241828396322778,0.0413793103448276,0
"average.degree",21.2808988764045,1.2,0
"average.path.length",2.05467468562056,2.97015016942541,0.71791762933874
"diameter",5,6.91,1.88983371529653
"edge.connectivity",0,0,0
"clustering.coefficient",0.509234178773701,0.0345833804578288,0.0677244092537726
"no.clusters",2,12.551,0.670707722371562
"centralization.degree",0.224080694586313,0.0871724137931034,0.0257254453900094
"centralization.betweenness",0.118112094162928,0.085949295056905,0.0511301853551147
"centralization.closeness",0.0543373295565418,0.0216356867721043,0.00859471558644139
