"","A","Means","SD"
"num.edges",947,48,0
"num.pos.edges",652,27,0
"num.neg.edges",295,21,0
"num.vertices",89,32,0
"connectance",0.241828396322778,0.0967741935483871,0
"average.degree",21.2808988764045,3,0
"average.path.length",2.05467468562056,3.00306490970438,0.172937944592499
"diameter",5,6.518,0.890206980689586
"edge.connectivity",0,0.223,0.416466618643613
"clustering.coefficient",0.509234178773701,0.0915264947313717,0.0397556058857962
"no.clusters",2,2.333,1.0340116924775
"centralization.degree",0.224080694586313,0.120064516129032,0.0304254535945914
"centralization.betweenness",0.118112094162928,0.191216784162654,0.0588011349991129
"centralization.closeness",0.0543373295565418,0.130555154710799,0.0580873861361798
