"","A","Means","SD"
"num.edges",947,24,0
"num.pos.edges",652,13,0
"num.neg.edges",295,11,0
"num.vertices",89,25,0
"connectance",0.241828396322778,0.08,0
"average.degree",21.2808988764045,1.92,0
"average.path.length",2.05467468562056,3.49488666046942,0.544774819193593
"diameter",5,7.885,1.70900429949597
"edge.connectivity",0,0,0
"clustering.coefficient",0.509234178773701,0.0698770836843892,0.0651733446087532
"no.clusters",2,4.817,1.21036191941748
"centralization.degree",0.224080694586313,0.119,0.0326608848634989
"centralization.betweenness",0.118112094162928,0.259638534837244,0.0930581536300336
"centralization.closeness",0.0543373295565418,0.071742653843576,0.021150074622851
