"","A","Means","SD"
"num.edges",947,11,0
"num.pos.edges",652,9,0
"num.neg.edges",295,2,0
"num.vertices",89,23,0
"connectance",0.241828396322778,0.0434782608695652,0
"average.degree",21.2808988764045,0.956521739130435,0
"average.path.length",2.05467468562056,2.11975066161348,0.498756325044904
"diameter",5,4.602,1.35920691708196
"edge.connectivity",0,0,0
"clustering.coefficient",0.509234178773701,0.0335933186911128,0.0998822940157631
"no.clusters",2,12.196,0.428681429231274
"centralization.degree",0.224080694586313,0.0956126482213439,0.0299736397562469
"centralization.betweenness",0.118112094162928,0.0456151121605667,0.0304530509925801
"centralization.closeness",0.0543373295565418,0.0195697455424701,0.00837535451464949
