"","C","D","B","A"
"num.edges",1356,1827,456,947
"num.pos.edges",1207,1621,318,652
"num.neg.edges",149,206,138,295
"num.vertices",125,158,61,89
"connectance",0.174967741935484,0.147303071837459,0.249180327868852,0.241828396322778
"average.degree",21.696,23.126582278481,14.9508196721311,21.2808988764045
"average.path.length",2.31845161290323,2.36321857615093,1.99508196721311,2.05467468562056
"diameter",5,5,4,5
"edge.connectivity",3,9,2,0
"clustering.coefficient",0.600606580479137,0.556435075959694,0.436450839328537,0.509234178773701
"no.clusters",1,1,1,2
"centralization.degree",0.147612903225806,0.139321131984197,0.250819672131148,0.224080694586313
"centralization.betweenness",0.067854642915433,0.0557143887215836,0.0582646936294808,0.118112094162928
"centralization.closeness",0.253104174786761,0.205205939892879,0.274306180681875,0.0543373295565418
