"","A","Means","SD"
"num.edges",947,768,0
"num.pos.edges",652,619,0
"num.neg.edges",295,149,0
"num.vertices",89,89,0
"connectance",0.241828396322778,0.19611848825332,0
"average.degree",21.2808988764045,17.2584269662921,0
"average.path.length",2.05467468562056,1.82979596527068,0.0033038339642399
"diameter",5,3,0
"edge.connectivity",0,8.764,1.32591932713196
"clustering.coefficient",0.509234178773701,0.195529677291548,0.00530920133087924
"no.clusters",2,1,0
"centralization.degree",0.224080694586313,0.109120148110317,0.0196583409988069
"centralization.betweenness",0.118112094162928,0.0144367770714516,0.00349337640722751
"centralization.closeness",0.0543373295565418,0.0863014518494281,0.0147320856915181
