"","A","Means","SD"
"num.edges",947,398,0
"num.pos.edges",652,306,0
"num.neg.edges",295,92,0
"num.vertices",89,61,0
"connectance",0.241828396322778,0.217486338797814,0
"average.degree",21.2808988764045,13.0491803278689,0
"average.path.length",2.05467468562056,1.82603606557377,0.00617714712999554
"diameter",5,3,0
"edge.connectivity",0,6.138,1.15511483857246
"clustering.coefficient",0.509234178773701,0.216799526302516,0.00961597057038549
"no.clusters",2,1,0
"centralization.degree",0.224080694586313,0.130396994535519,0.0262750217060718
"centralization.betweenness",0.118112094162928,0.0239503676459402,0.00649298677954654
"centralization.closeness",0.0543373295565418,0.1138832297053,0.0208956384116576
