"","A","Means","SD"
"num.edges",947,1180,0
"num.pos.edges",652,1147,0
"num.neg.edges",295,33,0
"num.vertices",89,125,0
"connectance",0.241828396322778,0.152258064516129,0
"average.degree",21.2808988764045,18.88,0
"average.path.length",2.05467468562056,1.89459187096774,0.00313217580882839
"diameter",5,3,0
"edge.connectivity",0,9.297,1.3938198354643
"clustering.coefficient",0.509234178773701,0.15225039813034,0.00392125275302876
"no.clusters",2,1,0
"centralization.degree",0.224080694586313,0.0882177419354839,0.0154154505046731
"centralization.betweenness",0.118112094162928,0.0111506478082166,0.00252018171171512
"centralization.closeness",0.0543373295565418,0.0780892299521034,0.0110154785791175
