"","C","D","B","A"
"num.edges",168,368,548,324
"num.pos.edges",150,315,496,287
"num.neg.edges",18,53,52,37
"num.vertices",70,93,93,89
"connectance",0.0695652173913043,0.0860215053763441,0.12809724170173,0.0827374872318693
"average.degree",4.8,7.91397849462366,11.7849462365591,7.28089887640449
"average.path.length",4.14618249534451,3.0619448340346,3.11572265625,3.44126659856997
"diameter",11,6,7,7
"edge.connectivity",0,1,0,1
"clustering.coefficient",0.56857855361596,0.536577505639704,0.61250766400981,0.54412362749085
"no.clusters",3,1,2,1
"centralization.degree",0.0753623188405797,0.0878915381019168,0.078424497428705,0.0649897854954035
"centralization.betweenness",0.241368711630727,0.111914249788973,0.13950295126149,0.0956151417847782
"centralization.closeness",0.0513815905485196,0.154064635537436,0.0631839241707546,0.187334023132873
