"","A","Means","SD"
"num.edges",947,324,0
"num.pos.edges",652,287,0
"num.neg.edges",295,37,0
"num.vertices",89,89,0
"connectance",0.241828396322778,0.0827374872318693,0
"average.degree",21.2808988764045,7.28089887640449,0
"average.path.length",2.05467468562056,2.45785903219139,0.0129732544566024
"diameter",5,4.373,0.487964249826879
"edge.connectivity",0,1.81,0.755294955941366
"clustering.coefficient",0.509234178773701,0.0822012947020647,0.00943656174298092
"no.clusters",2,1.046,0.218933624489095
"centralization.degree",0.224080694586313,0.078785240040858,0.015622806019909
"centralization.betweenness",0.118112094162928,0.0419716358383613,0.0103890779127246
"centralization.closeness",0.0543373295565418,0.14398539923114,0.0271643325047266
