"","A","Means","SD"
"num.edges",947,548,0
"num.pos.edges",652,496,0
"num.neg.edges",295,52,0
"num.vertices",89,93,0
"connectance",0.241828396322778,0.12809724170173,0
"average.degree",21.2808988764045,11.7849462365591,0
"average.path.length",2.05467468562056,2.06412388966807,0.00654612694433484
"diameter",5,3.263,0.440482718191106
"edge.connectivity",0,4.627,1.05687652447577
"clustering.coefficient",0.509234178773701,0.127260670805132,0.00696318735442454
"no.clusters",2,1,0
"centralization.degree",0.224080694586313,0.0919571061243572,0.0167170250014299
"centralization.betweenness",0.118112094162928,0.0223181424952103,0.00530420533066592
"centralization.closeness",0.0543373295565418,0.126879716732323,0.0169094367512867
