"","A","Means","SD"
"num.edges",947,168,0
"num.pos.edges",652,150,0
"num.neg.edges",295,18,0
"num.vertices",89,70,0
"connectance",0.241828396322778,0.0695652173913043,0
"average.degree",21.2808988764045,4.8,0
"average.path.length",2.05467468562056,2.82871237120718,0.0392382289972897
"diameter",5,5.642,0.588372485915327
"edge.connectivity",0,0.665,0.571928406447959
"clustering.coefficient",0.509234178773701,0.0686911105044509,0.0153112446801083
"no.clusters",2,1.482,0.684210599263227
"centralization.degree",0.224080694586313,0.0796231884057971,0.0174215257284787
"centralization.betweenness",0.118112094162928,0.0780431570298701,0.0204359246552618
"centralization.closeness",0.0543373295565418,0.135995792621667,0.0464804942695308
