"","A","Means","SD"
"num.edges",947,368,0
"num.pos.edges",652,315,0
"num.neg.edges",295,53,0
"num.vertices",89,93,0
"connectance",0.241828396322778,0.0860215053763441,0
"average.degree",21.2808988764045,7.91397849462366,0
"average.path.length",2.05467468562056,2.39871285493375,0.0101931029773287
"diameter",5,4.139,0.346119630761965
"edge.connectivity",0,2.157,0.806846950791785
"clustering.coefficient",0.509234178773701,0.0858064432955726,0.00891048399857976
"no.clusters",2,1.028,0.16505527329729
"centralization.degree",0.224080694586313,0.0794350163627864,0.0162278820864416
"centralization.betweenness",0.118112094162928,0.0373224080243,0.00952605283752529
"centralization.closeness",0.0543373295565418,0.143653180047953,0.0266195659808993
