"","C","D","B","A"
"num.edges",3577,5314,2833,3513
"num.pos.edges",2695,3855,2196,2477
"num.neg.edges",882,1459,637,1036
"num.vertices",220,274,186,208
"connectance",0.148484848484848,0.142081762519719,0.164661435629178,0.163182831661093
"average.degree",32.5181818181818,38.7883211678832,30.4623655913978,33.7788461538462
"average.path.length",2.04234122042341,1.99978610197588,2.03365300784656,1.99781679672984
"diameter",4,3,4,4
"edge.connectivity",11,15,10,9
"clustering.coefficient",0.435321075010287,0.404545225312788,0.477641966984928,0.461497106589509
"no.clusters",1,1,1,1
"centralization.degree",0.171149854711499,0.183925563487607,0.192095321127579,0.165319583797845
"centralization.betweenness",0.0192350196657638,0.0192504619149032,0.0285393599272317,0.0142028915635388
"centralization.closeness",0.197295985200311,0.188742158074895,0.189796187452892,0.172510886620872
