"","A","Means","SD"
"num.edges",3513,3513,0
"num.pos.edges",2477,2477,0
"num.neg.edges",1036,1036,0
"num.vertices",208,208,0
"connectance",0.163182831661093,0.163182831661093,0
"average.degree",33.7788461538462,33.7788461538462,0
"average.path.length",1.99781679672984,1.84000376254181,0.000478234202719402
"diameter",4,3,0
"edge.connectivity",9,19.928,1.89536498026328
"clustering.coefficient",0.461497106589509,0.163029683805097,0.00175352599938138
"no.clusters",1,1,0
"centralization.degree",0.165319583797845,0.0738171683389075,0.0111497394546907
"centralization.betweenness",0.0142028915635388,0.00465896489164521,0.000869376065461445
"centralization.closeness",0.172510886620872,0.0475405148965599,0.00729525104038001
