"","B","Means","SD"
"num.edges",2833,2833,0
"num.pos.edges",2196,2196,0
"num.neg.edges",637,637,0
"num.vertices",186,186,0
"connectance",0.164661435629178,0.164661435629178,0
"average.degree",30.4623655913978,30.4623655913978,0
"average.path.length",2.03365300784656,1.84055820982273,0.000689360602094942
"diameter",4,3,0
"edge.connectivity",10,17.536,1.79998442880597
"clustering.coefficient",0.477641966984928,0.164521854785236,0.00205720826295927
"no.clusters",1,1,0
"centralization.degree",0.192095321127579,0.0785709968032549,0.0124809012047101
"centralization.betweenness",0.0285393599272317,0.00555883129783225,0.00110365609074049
"centralization.closeness",0.189796187452892,0.0518062822163119,0.00830857116428681
