"","D","Means","SD"
"num.edges",5314,5314,0
"num.pos.edges",3855,3855,0
"num.neg.edges",1459,1459,0
"num.vertices",274,274,0
"connectance",0.142081762519719,0.142081762519719,0
"average.degree",38.7883211678832,38.7883211678832,0
"average.path.length",1.99978610197588,1.86122603673699,0.000352586898433524
"diameter",3,3,0
"edge.connectivity",15,23.252,1.93293358195056
"clustering.coefficient",0.404545225312788,0.142024963361408,0.00127093906213794
"no.clusters",1,1,0
"centralization.degree",0.183925563487607,0.0625665891286329,0.00898134649916644
"centralization.betweenness",0.0192504619149032,0.00345695074117231,0.000606854377626772
"centralization.closeness",0.188742158074895,0.0394266471025836,0.00563821332499128
