,observed,chao1,diversity_inverse_simpson,diversity_gini_simpson,diversity_shannon,diversity_fisher,diversity_coverage,dominance_dbp,dominance_dmn,dominance_absolute,dominance_relative,dominance_simpson,dominance_core_abundance,dominance_gini,rarity_log_modulo_skewness,rarity_low_abundance,rarity_rare_abundance,Observed,Chao1,se.chao1,ACE,se.ACE,Shannon,Simpson,InvSimpson,Fisher,ID,SampleType,env1,env2,env3,env4,env5,env6,env7,env8,env9,env10,env11,env12
SRR8247254,100,120.571428571429,20.6297441181522,0.951526301331091,3.70406875333076,28.5784148535618,8,0.12649945474373,0.233369683751363,116,0.12649945474373,0.0484736986689087,0.0229007633587786,0.986258678212426,1.79195154744618,0.0261723009814613,0.647764449291167,100,118.4,9.91654836783099,118.243318034177,5.07986557809441,3.70406875333076,0.951526301331091,20.6297441181522,28.5784148535618,SRR8247254,C,7.25,13.35,1.55,8.64,131.44,50.64,13.83,67.69,599.74,5.72,29.71,32.27
SRR8247256,181,206,75.0427259887006,0.98667425807332,4.74256703279258,67.3618320005351,30,0.0477223427331887,0.0889370932754881,44,0.0477223427331887,0.0133257419266802,0.0466377440347072,0.964035136702392,1.79830305706088,0.0433839479392625,0.729934924078091,181,204.636363636364,9.8668072450636,203.427369271779,5.72642478874038,4.74256703279258,0.98667425807332,75.0427259887006,67.3618320005351,SRR8247256,D,6.65,12.2,1.47,8.31,130.21,38.24,12.7,53.29,518.65,3.69,23.23,26.38
SRR8247258,135,147.461538461538,56.0760241683819,0.982167066677244,4.47332814824721,43.6356623436086,25,0.0685527747551687,0.11316648531012,63,0.0685527747551687,0.0178329333227558,0.015233949945593,0.97201736713388,1.6664450020737,0.0195865070729053,0.719260065288357,135,145.928571428571,6.85283206468639,141.784438412195,4.52666279610782,4.47332814824721,0.982167066677244,56.0760241683819,43.6356623436086,SRR8247258,D,6.74,13.13,1.47,8.91,124.07,39.26,13.84,59.29,556.72,4.71,25.86,28.73
SRR8247260,110,145.636363636364,42.5137632717263,0.976478205572899,4.12852555825948,32.4506550801615,16,0.0634408602150538,0.116129032258065,59,0.0634408602150538,0.0235217944271014,0,0.98122601937613,1.71582772698342,0.0301075268817204,0.643010752688172,110,141.5,15.9450269280352,132.32184338484,5.56306090958291,4.12852555825948,0.976478205572899,42.5137632717263,32.4506550801615,SRR8247260,B,7.46,11.9,1.32,9,124.07,16.9,12.13,55.69,538.29,3.69,20.8,31.21
SRR8247262,124,166.05,64.5049754938363,0.984497319899059,4.40907365549057,38.3918301509464,23,0.0321888412017167,0.0633047210300429,30,0.0321888412017167,0.0155026801009413,0.106223175965665,0.975342710236692,1.63371144090284,0.0311158798283262,0.425965665236052,124,160.909090909091,18.5480468661642,144.069788078206,5.71082467746966,4.40907365549057,0.984497319899059,64.5049754938363,38.3918301509464,SRR8247262,B,7.26,11.5,1.32,8.68,103.19,5.72,12.55,41.29,508.62,1.65,17.97,21.67
SRR8247264,119,130.764705882353,25.6829789761254,0.961063706786912,4.0718788700612,36.2465103258637,17,0.138709677419355,0.241935483870968,129,0.138709677419355,0.0389362932130882,0,0.979145320983712,1.62540911515259,0.021505376344086,0.931182795698925,119,129.555555555556,6.31377936919475,129.555920720177,4.92371146418171,4.0718788700612,0.961063706786912,25.6829789761254,36.2465103258637,SRR8247264,C,7.49,13,1.59,8.2,108.1,44.66,12.82,65.29,660.9,4.71,33.16,27.43
SRR8247266,113,128.041666666667,53.866433523529,0.981435563214647,4.28828019204212,33.5958934109458,20,0.0490928495197439,0.0907150480256137,46,0.0490928495197439,0.0185644367853535,0.165421558164354,0.978033538679377,1.61681927735542,0.0202774813233725,0.560298826040555,113,126.153846153846,7.99332783919719,122.536881994006,5.05527390053024,4.28828019204212,0.981435563214647,53.866433523529,33.5958934109458,SRR8247266,C,6.67,13.85,1.51,9.18,117.93,39.36,13.13,61.69,605.74,5.72,27.27,28.7
SRR8247268,194,262.173913043478,104.191459572979,0.990402284370538,4.90263563788026,73.961139038689,39,0.0243386243386243,0.0486772486772487,23,0.0243386243386243,0.00959771562946166,0.0677248677248677,0.959105662947252,1.76537433502903,0.0592592592592593,0.737566137566138,194,258.166666666667,22.977963539033,234.062962594389,6.64162835432923,4.90263563788026,0.990402284370538,104.191459572979,73.961139038689,SRR8247268,B,7.13,11.91,1.09,10.89,101.96,4.22,11.97,50.89,513.71,7.76,15.51,27.63
SRR8247271,161,191.117647058824,93.7731425426527,0.989335965790576,4.77357745635729,56.4040987580001,37,0.0368364030335861,0.0639219934994583,34,0.0368364030335861,0.0106640342094236,0.110509209100758,0.96348068609678,1.64599241755526,0.0346695557963164,0.588299024918743,161,188.555555555556,12.859423426574,176.768392938809,5.25714950427524,4.77357745635729,0.989335965790576,93.7731425426527,56.4040987580001,SRR8247271,D,6.58,14.75,1.69,8.75,128.99,49.48,12.83,78.49,677.08,9.79,35.37,33.34
SRR8247272,169,187.225,92.7513108614232,0.98921848121916,4.81529174315464,60.3962544406992,38,0.0386680988184748,0.0708915145005371,36,0.0386680988184748,0.0107815187808404,0.0730397422126745,0.961571396667054,1.66117588037508,0.0290010741138561,0.587540279269603,169,185.714285714286,8.50692412482618,180.767974968281,5.16382655086849,4.81529174315464,0.98921848121916,92.7513108614232,60.3962544406992,SRR8247272,C,7.21,12.41,1.54,8.09,95.82,45.32,13.11,61.69,554.32,5.72,26.06,29.91
